Year,Description,Balaghat,Barwani,Betul,Bhind,Bhopal,Chhatarpur,Chhindwara,Damoh,Datia,Dewas,Dhar,Dindori,Guna,Gwalior,Harda,Hoshangabad,Indore,Jabalpur,Jhabua,Katni,Mandla,Mandsaur,Morena,Narsimhapur,Neemuch,Nimar: East,Nimar: West,Panna,Raisen,Rajgarh,Ratlam,Rewa,Sagar,Satna,Sehore,Seoni,Shahdol,Shajapur,Sheopur,Shivpuri,Sidhi,Tikamgarh,Ujjain,Umaria,Vidisha
1999-00,GDP (in Rs. Cr.),1651.36,816.45,1702.27,1295.06,4335.97,1508.65,2616.88,1174.86,739.55,1655.88,1997.21,434.9,1750.91,3082.28,586.17,1747.45,7381.76,3651.37,1056.89,1493.42,774.71,1964.51,1557.94,1150.68,1102.97,1934.28,1473.87,773.58,1301.34,1387.69,2110.38,1878.76,2179.45,2160.22,1241.23,1163.76,2116.4,1635.65,528.66,1396.81,3244.75,1160.93,3250.93,487.22,1476.09
2000-01,GDP (in Rs. Cr.),1574.46,781.95,1600.22,1152.8,4277.19,1454.65,2390.74,1178.1,706.75,1406.87,1716.94,361.12,1745.59,3012.19,561.86,1770.63,7170.83,3624.99,967.48,1439.85,723.61,1452.57,1469.05,1130.08,917.23,1775.85,1343.62,725.65,1194.66,1131.58,1679.37,1853.04,2248.93,2109.26,1061.55,1030.25,2028.57,1281.6,495.5,1316.36,3093.65,1111.91,2654.58,476.09,1381.78
2001-02,GDP (in Rs. Cr.),1747.45,852.19,1808.62,1328.31,4462.23,1545.93,2458.56,1200.93,787.55,1598.88,1909.67,440.36,1834.34,3196.61,653.4,1899.01,7456.76,3760.55,1097.64,1539.7,824.16,1630.65,1527.9,1255.26,1035.28,1951.51,1453.77,818.03,1263.74,1225.18,1786.16,1968.53,2224.04,2242.49,1226.54,1209.94,2166.68,1335.92,533.67,1422.63,3278.48,1197.6,2759.85,513.23,1461.14
2002-03,GDP (in Rs. Cr.),1600.56,842.54,1755.23,1222.71,4577.41,1492.82,2536.79,1076.63,734.36,1504.89,1828.28,368.7,1531.49,3124.89,611.43,1791.15,7523.75,3789.12,1087.17,1473.04,786.73,1476.2,1389.64,1066.51,897.39,1937.33,1490.85,811.85,1220.77,1120.52,1703.06,1907.37,2106.99,2184.22,1181.3,1168.14,2125.4,1262.81,392.43,1112.77,3322.68,1083.12,2694.21,501.94,1348.27
2003-04,GDP (in Rs. Cr.),1771.74,985.59,1879.29,1362.86,4972,1606.05,2830.22,1244.11,792.63,1735.22,2111.3,426.12,1873.25,3347.8,701.35,1949.7,8040.52,4057.43,1193.23,1589.7,844.61,1706.75,1594.37,1208.62,1096.56,2023.45,1649.08,1017.51,1291.29,1443.09,2069.18,1981.88,2357.44,2316.82,1372.63,1266.61,2242.59,1547.9,574.55,1465.18,3566.34,1247.75,3147.52,538.8,1489.82
2004-05,GDP (in Rs. Cr.),1773.19,973.09,1895.55,1356.85,5468.37,1668.44,2871.69,1306.93,781.52,1699.92,2152.82,450.75,1918.85,3487.34,618.9,1905.45,8445.27,4364.21,1218.44,1636.45,876.21,1898.72,1654.05,1246.69,1153.93,2065.42,1695.67,921.54,1347.54,1435.35,2090.24,2061.42,2427.31,2425.63,1314.76,1248.63,2345.24,1587.52,565.51,1473.93,3756.04,1211.7,3237.45,557.62,1575.94
2005-06,GDP (in Rs. Cr.),1957.44,1009.61,2123.71,1483.21,5813.31,1772.01,3051.54,1414.46,856.96,1800.28,2239.87,469.71,2115.15,3695.87,814.73,2081.14,8858.6,4641.52,1333.77,1733.67,948.01,1870.83,1778.65,1316.96,1170.65,2192.04,1755.86,991.8,1433.85,1517.38,2177.72,2197.11,2571.48,2564.24,1429.45,1390.05,2554.87,1650.2,600.14,1596.63,4036.53,1257.15,3344.16,618.88,1650.24
2006-07,GDP (in Rs. Cr.),1988.57,1066.35,2239.93,1443.38,6344,1704.72,3266.32,1447.16,858.44,1918.98,2480.82,457.61,2188.62,3804.29,817.57,2244.32,9549.83,4884.44,1336.52,1738.49,959.55,2099.84,1799.95,1361.27,1234.25,2280.32,1894.01,954.48,1499.75,1563.61,2370.29,2250.62,2694.59,2576.37,1458.35,1449.97,2640.56,1738,607.33,1548.46,4233.7,1222.19,3760.48,624.96,1741.17
2000-01,Growth Rate % (YoY),-4.656767755,-4.225610876,-5.994936173,-10.98481924,-1.355636686,-3.57935903,-8.641588456,0.275777539,-4.435129471,-15.03792545,-14.03307614,-16.9648195,-0.303842002,-2.273966025,-4.147261033,1.326504335,-2.85744863,-0.722468553,-8.459726178,-3.587068608,-6.596016574,-26.05942449,-5.705611256,-1.790245768,-16.83998658,-8.190644581,-8.837278729,-6.195868559,-8.197703905,-18.45585109,-20.42333608,-1.368988056,3.187960265,-2.359018989,-14.47596336,-11.47229669,-4.14997165,-21.64582888,-6.272462452,-5.759552122,-4.656753217,-4.222476807,-18.34398157,-2.284388982,-6.389176812
2001-02,Growth Rate % (YoY),10.98725912,8.982671526,13.02320931,15.22467037,4.326204821,6.275048981,2.836778571,1.937866056,11.43261408,13.64802718,11.22520298,21.94284448,5.084240858,6.122455755,16.29231481,7.250526649,3.987404526,3.739596523,13.45350808,6.934750148,13.89560675,12.25965014,4.005990266,11.07709189,12.87027245,9.891601205,8.198002411,12.73065527,5.782398339,8.271620212,6.358932219,6.232461253,-1.106748543,6.316433251,15.54236729,17.44139772,6.808244231,4.238451935,7.70332997,8.073019539,5.974496145,7.706558984,3.965599078,7.801046021,5.743316592
2002-03,Growth Rate % (YoY),-8.405962975,-1.132376583,-2.951974434,-7.949951442,2.5812206,-3.435472499,3.181943902,-10.35031184,-6.753856898,-5.878489943,-4.26199291,-16.27304932,-16.5100254,-2.243626842,-6.423324151,-5.679801581,0.898379457,0.759729295,-0.953864655,-4.329414821,-4.541593865,-9.471683071,-9.049021533,-15.03672546,-13.31910208,-0.726616825,2.550609794,-0.755473516,-3.40022473,-8.542418257,-4.652438751,-3.106886865,-5.262944911,-2.598450829,-3.688424348,-3.454716763,-1.905219045,-5.472633092,-26.46579347,-21.78078629,1.348185745,-9.559118236,-2.37839013,-2.199793465,-7.724790232
2003-04,Growth Rate % (YoY),10.69500675,16.97842239,7.068019576,11.4622437,8.620377025,7.584973406,11.56698032,15.55594773,7.93480037,15.30543761,15.48012339,15.5736371,22.31552279,7.133371095,14.7065077,8.851854954,6.868516365,7.081063677,9.755603999,7.919676316,7.357034815,15.61780247,14.73259261,13.32476958,22.19436365,4.445293264,10.61340846,25.33226581,5.77668193,28.78752722,21.49777459,3.906426126,11.886625,6.070817042,16.19656311,8.429640283,5.51378564,22.57584276,46.40827664,31.66961726,7.333237026,15.19960854,16.82534027,7.343507192,10.498639
2004-05,Growth Rate % (YoY),0.081840451,-1.268275855,0.865220376,-0.4409844,9.983306516,3.884686031,1.465257118,5.049392739,-1.401662819,-2.034324178,1.966560887,5.780061954,2.434271987,4.168110401,-11.75589934,-2.269579935,5.033878406,7.56094375,2.11275278,2.940806441,3.741371757,11.24769298,3.743171284,3.149873409,5.231815861,2.074180237,2.825211633,-9.431848336,4.356109007,-0.536349084,1.017794489,4.013361051,2.963808199,4.696523683,-4.215994113,-1.41953719,4.577296786,2.559596873,-1.573405274,0.597196249,5.319178766,-2.889200561,2.857170089,3.49294729,5.780564095
2005-06,Growth Rate % (YoY),10.39087746,3.752993043,12.03661207,9.312746435,6.307912596,6.207595119,6.262862635,8.227678606,9.652983929,5.903807238,4.043533598,4.206322795,10.23008573,5.979629173,31.64162223,9.220394133,4.894218894,6.354185523,9.465381964,5.940908674,8.194382625,-1.468884301,7.533024999,5.63652552,1.448961375,6.130472253,3.54962935,7.624194283,6.405004675,5.714982408,4.18516534,6.582355852,5.939496809,5.714391725,8.723265083,11.32601331,8.938530811,3.948296714,6.123675974,8.32468299,7.467705349,3.750928448,3.296112681,10.98597611,4.714646497
2006-07,Growth Rate % (YoY),1.590342488,5.619991878,5.472498599,-2.685391819,9.128878384,-3.797382633,7.038413391,2.311836319,0.17270351,6.593418802,10.75732074,-2.576057567,3.473512517,2.93354474,0.348581739,7.840894894,7.80292597,5.233630362,0.206182475,0.278022922,1.217286737,12.24109085,1.197537458,3.364566881,5.43287917,4.027298772,7.867939357,-3.762855414,4.596017715,3.046698915,8.842734603,2.435472052,4.787515361,0.473044645,2.02175662,4.310636308,3.3539867,5.320567204,1.198053787,-3.016979513,4.884641016,-2.78089329,12.44916511,0.982419855,5.510107621
