Year,Description,Agra,Aligarh,Allahabad,Ambedkar Nagar,Auraiyya,Azamgarh,Badaun,Bagpat,Bahraich,Ballia,Balrampur,Banda,Barabanki,Bareilly,Basti,Bijnor,BulandShahar,Chandauli,Chitrakoot,Deoria,Etah,Etawa,Faizabad,Farrukhabad,Fatehpur,Firozabad,Gautambudh Nagar,Ghaziabad,Ghazipur,Gonda,Gorakhpur,Hamirpur,Hardoi,Hath Ras (Mahamaya Nagar),Jalaun,Jaunpur,Jhansi,Jyotiba Phule Nagar,Kannauj,Kanpur: Rural,Kanpur: Urban,Kaushambi,Kheri,Kushi Nagar,Lalitpur,Lucknow,Maharajganj,Mahoba,Mainpuri,Mathura,Mau,Meerut,Mirzapur,Moradabad,Muzaffarnagar,Pilibhit,Pratapgarh,Rae Bareli,Rampur,Saharanpur,Sant Kabeer Nagar,Sant Ravidas Nagar,Shahjahanpur,Shravasti,Siddharth Nagar,Sitapur,Sonbhadra,Sultanpur,Unnao,Varanasi
1999-00,GDP (in Rs. Cr.),4545.01,3774.32,5230.28,1276.49,1386.52,2667.54,3588.23,1833.61,1391.43,1874.96,1026.22,1214.05,2455.4,4477.63,1384.02,4261.03,4459.11,1514.91,502.65,1647.24,2658.04,1261.56,1525.4,1514.14,1976.17,2113.86,4508.62,5884.21,2076.42,1634.78,2919.83,1115.36,2615.12,1765.25,1608.24,2533.64,2416.61,2208.98,1331.61,1715.33,5404.55,953.43,3438.19,1896.98,891.2,5585.9,1609.61,848.84,1518.13,2860.62,1620.92,5166.86,1836.49,4615.28,5112.72,1759.01,1576.13,2155.09,2497.94,4403,920.6,1687.79,2790.6,664.08,1301.93,2903.55,3766.49,2457.9,2166.72,2753.3
2000-01,GDP (in Rs. Cr.),4372.74,3912.89,5639.85,1364.63,1443.05,2652.5,3244.58,1962.24,1406.95,1911.67,1174.98,1169.23,2464.71,4540.69,1377.16,4213.14,4641.58,1614.92,494.09,1688.05,2632.41,1211.46,1638.26,1647.3,1911.4,2372.79,4569.47,6394.74,2143.7,1682.8,3086.09,1037.84,2564.37,1923.81,1455.76,2640.83,2574.09,2236.67,2153.57,1777.73,6052.55,1060.95,3370.62,1988.54,887.15,6700.99,1550.18,798.41,1596.95,2903.6,1687.39,5322.64,1917.02,4250.41,5107.04,2072.88,1639.91,2064.24,2530.97,4640.64,893.29,1202.5,2586.08,753.78,1283.53,3652.6,3282.83,2572.86,2167.85,3187.34
2001-02,GDP (in Rs. Cr.),4597.93,3719.35,5539.63,1465.87,1113.67,2779.15,3473.48,1923.65,1674.03,1951.88,1192.19,1319.43,2787.6,4585.92,1437.73,4533.22,4822.14,1775.23,548.72,1661.1,2710.63,1349.21,1726.51,1663.33,1979.05,2508.09,4677.26,6287.59,2196.1,1917.86,3279.48,1118.7,2515.39,1910.74,1675.9,2636.96,2732.5,2382.38,1881.49,1790.06,6468.42,1248.73,3482.31,2004.14,886.16,6395.19,1546.46,873.04,1717.18,2952.66,1694.24,5288.72,1887.36,4680.21,5351.55,1904.19,1706,2214.81,2613.75,4332.6,952.19,1317,2801.91,638.31,1298.97,3465.2,3453.58,2628.82,2389.52,3043.34
2002-03,GDP (in Rs. Cr.),5058.6,4096.34,5621.03,1427.04,1173.62,2622.8,3326.8,2023.61,1628.9,1827.41,1088.12,1327.09,2614.7,4614.24,1395.15,4665.5,5307.62,1757.87,562.27,1667.7,2866.29,1439.66,1629.1,1639.94,1842.67,2566.68,4571.72,6488.39,2170.24,1927.5,3347.39,1181.87,2624.31,2034.18,1768.28,2568.41,2805.42,2604.97,1450.51,1761.88,6804.9,1195.51,3642.5,2057.87,856.92,8868.54,1626.05,909.91,1676.06,3093.96,1762.27,5266.38,1826,4765.73,5451.46,1972.68,1708.56,2164.81,2548.78,4678.19,943.93,1291.94,2637.07,557.66,1244.49,3413.5,3939.52,2547.09,3121.87,3249.38
2003-04,GDP (in Rs. Cr.),5421.66,4296.58,6116.85,1605.11,1221.24,2955.54,3587.55,2132.58,1709.38,2019.05,1305,1515.91,2858.51,4886.76,1470.89,4793.31,5073.45,1879.77,609.4,1706.65,3015.73,1501.28,1902.74,1600.6,1948.83,2590.58,4984.51,6779.79,2299.67,2081.09,3571.97,1219.31,2947.62,2125.13,1863.13,2685.47,2925.12,2762.1,1354.16,1911.68,7147.67,1273.53,3597.32,2127.09,1014.52,7793.91,1685.61,980.49,1724.41,3265.47,1859.31,5777.28,1956.62,5052.54,5671.71,1947.12,1885.79,2255.84,2585.84,5161.47,1052.9,1399.99,2904.23,737.96,1487.36,3748.1,3974.29,2792.68,2747.74,3549.53
2004-05,GDP (in Rs. Cr.),5915.91,4522.32,6105.17,1625.66,1217.2,2797.15,3529.13,2246.94,1855.92,1940.29,1333.37,1537.02,3228.33,5070.06,1600.81,4919.34,5524.95,1758.37,616.27,1723.17,3160.11,1652.29,1846.29,1775.24,1996.6,2706.88,6050.27,7421.7,2245.14,2149.86,3721.56,1184.32,3158.34,2206.17,2005.27,2609.51,3094.64,2853.98,1549.69,1766.81,8154.41,1329.52,3937.95,2124.3,1114.39,8593.09,1682.28,1096.79,1688.13,3361.45,1826.67,5863.47,1860.97,5394.22,5884.61,2139.09,1785.63,2455.45,2669.78,5293.43,982.95,1439.45,2832.35,617.46,1384.98,3654.11,4008.71,2888.94,2941.6,3712.37
2005-06,GDP (in Rs. Cr.),6309.36,4817.18,6638.74,1793.54,1330.08,3230.13,4201.04,2179.02,1853.02,2223.34,1490.29,1554.42,3131.77,5357.77,1663.48,5334.89,5252.62,1929.16,655.71,1906.46,3406.56,1594.3,2041.47,1770.86,2075.97,2987.87,6608.23,8100.97,2526.25,2262.31,3990.24,1224.99,3274.8,2118.92,1888.37,2879.58,3115.83,2880.8,1532.71,1824.74,8676.48,1406.22,3955.35,2209.06,1249.51,9090.57,1671.78,981.5,1700.63,3795.39,1967.91,6377.77,2038.94,5696,6076.92,2296.82,1909.11,2565.37,2724.92,5585.98,1074.29,1564.84,3095.39,674.7,1587.38,3762.47,4675.92,3116.79,3091.89,3916.69
2000-01,Growth Rate % (YoY),-3.790310692,3.671389813,7.830747111,6.904871954,4.077113926,-0.56381535,-9.577145278,7.015123172,1.115399266,1.957908435,14.49591705,-3.691775462,0.379164291,1.40833432,-0.495657577,-1.123906661,4.092072185,6.601712313,-1.702974237,2.477477477,-0.96424433,-3.971273661,7.398715091,8.794431162,-3.277552032,12.24915557,1.349636918,8.676270901,3.240192254,2.937398304,5.694167126,-6.95022235,-1.940637523,8.982297125,-9.481171964,4.230672077,6.516566595,1.253519724,61.72678187,3.637783983,11.9898974,11.27717819,-1.965278242,4.826619153,-0.454443447,19.96258436,-3.692198731,-5.941048961,5.191913736,1.502471492,4.100757594,3.014983955,4.38499529,-7.905695862,-0.111095464,17.84355973,4.04662052,-4.215601205,1.322289567,5.397229162,-2.966543559,-28.75298467,-7.328889844,13.50740875,-1.413286429,25.79773036,-12.84113326,4.677163432,0.052152562,15.7643555
2001-02,Growth Rate % (YoY),5.149860271,-4.946216224,-1.776997615,7.41886079,-22.82526593,4.774740811,7.054842229,-1.966629974,18.98290629,2.103396507,1.464705782,12.84606108,13.10052704,0.996104116,4.398181765,7.597184048,3.89005468,9.92680752,11.05669008,-1.596516691,2.971421625,11.37057765,5.386812838,0.973107509,3.539290572,5.702148104,2.358916898,-1.67559588,2.44437188,13.96838602,6.266505513,7.791181685,-1.910020785,-0.67938102,15.12199813,-0.146544836,6.154019479,6.514595358,-12.63390556,0.69358114,6.870988261,17.69923182,3.313633694,0.784495157,-0.111593304,-4.563504796,-0.239972132,9.347327814,7.528726635,1.68962667,0.405952388,-0.637277742,-1.547193039,10.11196567,4.787704815,-8.137952993,4.030099213,7.294209976,3.270682782,-6.637877534,6.593603421,9.521829522,8.345836169,-15.31879328,1.202932538,-5.130591907,5.201304972,2.175011466,10.22533847,-4.517873838
2002-03,Growth Rate % (YoY),10.0190738,10.13591084,1.469412217,-2.648938855,5.383102714,-5.625820845,-4.222854313,5.196371481,-2.69588956,-6.37692891,-8.729313281,0.580553724,-6.202468073,0.617542391,-2.961613098,2.918014127,10.06772927,-0.977901455,2.469383292,0.397327072,5.742576449,6.703923036,-5.642017712,-1.406215243,-6.891185165,2.336040573,-2.256449289,3.193592458,-1.177542006,0.502643571,2.07075512,5.646732815,4.330143636,6.460324272,5.512262068,-2.59958437,2.668618481,9.343177831,-22.90631361,-1.574248908,5.20188856,-4.261930121,4.6001074,2.680950433,-3.299629864,38.67516055,5.146592864,4.223174196,-2.394623744,4.785515434,4.015369723,-0.422408447,-3.251102068,1.827268435,1.866935748,3.596804941,0.150058617,-2.257529991,-2.485700622,7.976503716,-0.867473929,-1.902809415,-5.883129722,-12.6349266,-4.194092242,-1.491977375,14.07061658,-3.108999475,30.64841474,6.770193274
2003-04,Growth Rate % (YoY),7.177084569,4.888266111,8.820803305,12.47827671,4.057531399,12.68644197,7.83786221,5.384930891,4.940757566,10.48697337,19.93162519,14.22812319,9.324587907,5.906064704,5.428806938,2.739470582,-4.411958656,6.934528719,8.382094012,2.335551958,5.213708313,4.280177264,16.79700448,-2.398868251,5.761205208,0.931163994,9.029205638,4.491098716,5.963856532,7.968352789,6.709107693,3.167861101,12.31980978,4.471089087,5.363969507,4.557683547,4.266740809,6.03193127,-6.642491262,8.502281654,5.037105615,6.526085102,-1.240356898,3.363672146,18.39144844,-12.11732709,3.662863996,7.756811113,2.884741596,5.543381298,5.506534186,9.701160949,7.153340635,6.0181756,4.040202074,-1.295699252,10.3730627,4.204987967,1.454028986,10.33049107,11.54428824,8.363391489,10.13094078,32.33152817,19.51562487,9.802255749,0.882594834,9.641983597,-11.98416334,9.237146779
2004-05,Growth Rate % (YoY),9.11621164,5.253946162,-0.190947955,1.280286086,-0.330811307,-5.359088356,-1.62840936,5.362518639,8.572698873,-3.900844457,2.17394636,1.392562883,12.9375094,3.750951551,8.83274752,2.629289572,8.899269728,-6.458236912,1.127338366,0.967978203,4.787563873,10.05874987,-2.966774231,10.91090841,2.451214318,4.489342155,21.3814397,9.467992371,-2.371209782,3.304518305,4.187885117,-2.869655789,7.148818369,3.813413768,7.629097272,-2.82855515,5.795317799,3.326454509,14.43920955,-7.578151155,14.08486961,4.396441387,9.468993584,-0.131165113,9.844064188,10.25390337,-0.197554594,11.86141623,-2.103908003,2.939239987,-1.75548994,1.491878531,-4.888532265,6.762539238,3.753718014,9.85917663,-5.311301895,8.848588552,3.246140519,2.556635997,-6.643555893,2.818591561,-2.475010588,-16.32879831,-6.883336919,-2.507670553,0.866066643,3.446868241,7.05525268,4.587649632
2005-06,Growth Rate % (YoY),6.650709696,6.520104725,8.739641976,10.32688262,9.273743017,15.47932717,19.03896994,-3.022777644,-0.156256735,14.5880255,11.76867636,1.132060741,-2.991020125,5.674686296,3.914893085,8.447271382,-4.929094381,9.71297281,6.399792299,10.63679149,7.798779156,-3.509674452,10.57147035,-0.246727203,3.975257938,10.38058577,9.222067775,9.15248528,12.52082275,5.230573154,7.219553091,3.434038098,3.687380079,-3.954817625,-5.829638901,10.34945258,0.684732311,0.939740293,-1.095703012,3.278790589,6.402302558,5.768999338,0.441854264,3.990020242,12.12501907,5.7893028,-0.624152935,-10.5115838,0.740464301,12.90930997,7.732102679,8.771256611,9.563292262,5.594506713,3.268016062,7.373696291,6.915206398,4.476572522,2.065338717,5.526662296,9.292436034,8.710965994,9.286987837,9.270236129,14.61392944,2.96542797,16.64400767,7.886975846,5.109124286,5.503761748
